charID,day in week,start time,end time,x,y
1,2,9,12,2210,2490
1,2,12,15,1728,3123
1,2,15,20,1630,2286
1,3,9,12,2210,2490
1,3,12,15,1728,3123
1,3,15,20,1630,2286
1,4,9,12,2210,2490
1,4,12,15,1728,3123
1,4,15,20,1630,2286
1,5,9,12,2210,2490
1,5,12,15,1728,3123
1,5,15,20,1630,2286
1,6,9,12,2210,2490
1,6,12,15,1728,3123
1,6,15,20,1630,2286
1,7,9,12,2210,2490
1,7,12,15,1728,3123
1,7,15,20,1630,2286
1,8,9,12,1273,1433
1,8,12,15,1728,3129
1,8,15,20,1630,2292
2,2,6,9,1647,2501
2,2,17,20,1647,2501
2,3,6,9,1647,2501
2,3,17,20,1647,2501
2,4,6,9,1647,2501
2,4,17,20,1647,2501
2,5,6,9,1647,2501
2,5,17,20,1647,2501
2,6,6,9,1647,2501
2,6,17,20,1647,2501
2,7,6,9,1647,2501
2,7,17,20,1647,2501
